#! FIELDS s_co s_ch.sum file.free der_s_co der_s_ch.sum
#! SET min_s_co 1.9
#! SET max_s_co 3.1
#! SET nbins_s_co  101
#! SET periodic_s_co false
#! SET min_s_ch.sum 0.0
#! SET max_s_ch.sum 2.2
#! SET nbins_s_ch.sum  101
#! SET periodic_s_ch.sum false
    1.900000000    0.000000000   -5.059581527 -221.762059102   -6.712276326
    1.912000000    0.000000000   -8.296013563 -320.713516359  -11.195297413
    1.924000000    0.000000000  -12.808888703 -432.546230898  -17.522037181
    1.936000000    0.000000000  -18.669246072 -542.168952888  -25.897983242
    1.948000000    0.000000000  -25.728733477 -628.659089009  -36.238597244
    1.960000000    0.000000000  -33.575663930 -670.082038958  -48.014801745
    1.972000000    0.000000000  -41.561750336 -649.850696718  -60.317873436
    1.984000000    0.000000000  -48.906897040 -563.917447227  -72.042769493
    1.996000000    0.000000000  -54.875134644 -423.455792475  -82.060336884
    2.008000000    0.000000000  -58.953762965 -254.153690053  -89.534844742
    2.020000000    0.000000000  -60.990532665  -88.694677060  -93.978425998
    2.032000000    0.000000000  -61.219070794   42.987550168  -95.701067804
    2.044000000    0.000000000  -60.170538227  122.444053494  -95.297315902
    2.056000000    0.000000000  -58.499903639  147.658654175  -93.672812466
    2.068000000    0.000000000  -56.795782331  130.942295550  -91.772702627
    2.080000000    0.000000000  -55.443783700   92.598815911  -90.187264417
    2.092000000    0.000000000  -54.577414433   52.901344479  -89.140784085
    2.104000000    0.000000000  -54.122685645   25.617777812  -88.677308480
    2.116000000    0.000000000  -53.894736428   15.123488587  -88.489335962
    2.128000000    0.000000000  -53.704790512   18.292034908  -88.407156371
    2.140000000    0.000000000  -53.429545049   27.918098554  -88.084416330
    2.152000000    0.000000000  -53.038200655   36.659792887  -87.574194204
    2.164000000    0.000000000  -52.570621785   40.304435290  -86.904110505
    2.176000000    0.000000000  -52.090765615   38.845705676  -86.352322313
    2.188000000    0.000000000  -51.679258614   30.315596133  -85.905436643
    2.200000000    0.000000000  -51.346447861   25.249542230  -85.563901292
    2.212000000    0.000000000  -51.069394763   21.236427286  -85.271127185
    2.224000000    0.000000000  -50.828124655   19.311150047  -85.044653882
    2.236000000    0.000000000  -50.596608135   19.501784737  -84.874935455
    2.248000000    0.000000000  -50.354012407   21.021823938  -84.714554781
    2.260000000    0.000000000  -50.092827060   22.411541326  -84.560625572
    2.272000000    0.000000000  -49.819123036   23.007568323  -84.433903785
    2.284000000    0.000000000  -49.544910244   22.587401338  -84.298972456
    2.296000000    0.000000000  -49.280981146   21.330326372  -84.218408753
    2.308000000    0.000000000  -49.034103548   19.810656607  -84.181980083
    2.320000000    0.000000000  -48.805270180   18.458391862  -84.174012095
    2.332000000    0.000000000  -48.589495533   17.603848109  -84.250553020
    2.344000000    0.000000000  -48.380728168   17.412724953  -84.325713074
    2.356000000    0.000000000  -48.168137337   18.011382578  -84.460353518
    2.368000000    0.000000000  -47.949300290   18.483206850  -84.632829956
    2.380000000    0.000000000  -47.725158883   18.809437167  -84.843673304
    2.392000000    0.000000000  -47.499764743   18.675449812  -85.119598666
    2.404000000    0.000000000  -47.278552320   18.156075160  -85.424838235
    2.416000000    0.000000000  -47.063426534   17.655774556  -85.724521656
    2.428000000    0.000000000  -46.854683179   16.973388304  -85.970611153
    2.440000000    0.000000000  -46.654689066   16.384504415  -86.180904175
    2.452000000    0.000000000  -46.461010076   16.013397817  -86.446275753
    2.464000000    0.000000000  -46.269919947   15.811377832  -86.771249514
    2.476000000    0.000000000  -46.079993636   15.861368392  -87.105574183
    2.488000000    0.000000000  -45.888560747   16.059087051  -87.533731359
    2.500000000    0.000000000  -45.695324031   16.210533503  -88.056323714
    2.512000000    0.000000000  -45.499404110   16.468236253  -88.677370259
    2.524000000    0.000000000  -45.300679815   16.658950145  -89.377709983
    2.536000000    0.000000000  -45.099882975   16.824650946  -90.148841412
    2.548000000    0.000000000  -44.898003990   16.734385055  -91.042431867
    2.560000000    0.000000000  -44.697220630   16.784188383  -92.012364031
    2.572000000    0.000000000  -44.496062929   16.743668642  -93.064677227
    2.584000000    0.000000000  -44.294488412   16.851339341  -94.270708702
    2.596000000    0.000000000  -44.090985559   17.190148374  -95.584003130
    2.608000000    0.000000000  -43.882755946   17.619125078  -96.996594306
    2.620000000    0.000000000  -43.666979934   18.365090810  -98.579262468
    2.632000000    0.000000000  -43.442698724   19.048299903 -100.302699876
    2.644000000    0.000000000  -43.210151932   19.613757345 -102.218198217
    2.656000000    0.000000000  -42.973017694   19.933027214 -104.418461938
    2.668000000    0.000000000  -42.732090272   20.256983411 -106.863431459
    2.680000000    0.000000000  -42.484799684   20.942757727 -109.609353769
    2.692000000    0.000000000  -42.227990718   21.962568052 -112.767205682
    2.704000000    0.000000000  -41.954642937   23.724906512 -116.259462002
    2.716000000    0.000000000  -41.656032939   26.052698183 -120.288438526
    2.728000000    0.000000000  -41.325564624   29.098188214 -124.759660717
    2.740000000    0.000000000  -40.956906638   32.456229523 -129.799862650
    2.752000000    0.000000000  -40.544963651   36.261129666 -135.403076158
    2.764000000    0.000000000  -40.082812728   40.956262763 -141.584083970
    2.776000000    0.000000000  -39.559126026   46.568478516 -148.362871694
    2.788000000    0.000000000  -38.962317495   53.262454159 -155.634188169
    2.800000000    0.000000000  -38.274929817   61.440108780 -163.072621060
    2.812000000    0.000000000  -37.483932774   70.335360885 -170.517960340
    2.824000000    0.000000000  -36.589557810   78.469974127 -177.403332616
    2.836000000    0.000000000  -35.610280886   84.291099320 -183.423938627
