2.032000000000000028e+00 2.199999999999999872e-02 0.000000000000000000e+00
2.115734252615554922e+00 2.557364762316204770e-02 7.307599959618304553e+00
2.199641877775254439e+00 2.651652714918558904e-02 9.872103808668860836e+00
2.283578057837358788e+00 2.731377002073145932e-02 1.169979406189579230e+01
2.367457381011325968e+00 2.910745228861769465e-02 1.324134264175114239e+01
2.451302575803629757e+00 3.129398665068770097e-02 1.467637988159439288e+01
2.535123684827913060e+00 3.459682819691182326e-02 1.590047960020690532e+01
2.618949070742187413e+00 3.920910890259129283e-02 1.704735279531925229e+01
2.702794696309441136e+00 4.716037387675265508e-02 1.809369904017196262e+01
2.785823944940009955e+00 6.349366380681027711e-02 1.896162062291012873e+01
2.862555754835609534e+00 9.330096654676985068e-02 2.022790252385980381e+01
2.917719397390335700e+00 1.231461485550661983e-01 2.069300694946020513e+01
2.932489087785025816e+00 1.443295567618329001e-01 2.053581004070759519e+01
2.954512781703108715e+00 2.423517489683875425e-01 1.943262350897095558e+01
2.966169611194761746e+00 3.736133994374727374e-01 1.794755251177373268e+01
2.975209268795129702e+00 5.097922960421192862e-01 1.673319842592341544e+01
2.982857838963047570e+00 6.461246583186963655e-01 1.550782045112862484e+01
2.989487161550298477e+00 7.818810652199978950e-01 1.427310875800663226e+01
2.992395222246905462e+00 9.177450693751288968e-01 1.354449732077150159e+01
2.990541684205208384e+00 1.054641655729539496e+00 1.373744614016686327e+01
2.991213453940473777e+00 1.191506032148050176e+00 1.334306555271661310e+01
2.992678100204455571e+00 1.328226216336876986e+00 1.258661954879451983e+01
2.994983508732497413e+00 1.464981046470333892e+00 1.127825820340152951e+01
2.999100175199575613e+00 1.601509777434859227e+00 9.403093883951251897e+00
3.004000000000000004e+00 1.737999999999999989e+00 8.073529645000000698e+00
