# bic_coord
-7.828571428571429180e+00 3.953657943825334087e+00
-7.485714285714285765e+00 3.921687447561952311e+00
-7.142857142857142350e+00 3.982555978680816899e+00
-6.799999999999999822e+00 3.882869662078774375e+00
-6.457142857142857295e+00 3.912029075558917768e+00
-6.114285714285713880e+00 3.973359025645561982e+00
-5.771428571428571352e+00 3.970343948608789475e+00
-5.428571428571428825e+00 3.931932529682784061e+00
-5.085714285714285410e+00 3.916266363305274112e+00
-4.742857142857142883e+00 3.921069422740845578e+00
-4.400000000000000355e+00 3.963229840190249043e+00
-4.057142857142856940e+00 3.940376316873339224e+00
-3.714285714285714413e+00 3.918775445678146063e+00
-3.371428571428571441e+00 3.894915569039103964e+00
-3.028571428571428470e+00 3.894158412840672767e+00
-2.685714285714285499e+00 3.809340077672981550e+00
-2.342857142857142971e+00 3.751504461858019557e+00
-2.000000000000000000e+00 3.647041798764246501e+00
-1.657142857142857029e+00 3.576844280205972559e+00
-1.314285714285714057e+00 3.429160624091052156e+00
-9.714285714285710860e-01 3.238680999377512304e+00
-6.285714285714285587e-01 3.070120284537418698e+00
-2.857142857142855874e-01 2.844511780925758959e+00
5.714285714285693984e-02 2.605698989786646713e+00
3.999999999999994671e-01 2.249320934885295387e+00
7.428571428571428825e-01 2.126011829994873370e+00
1.085714285714286298e+00 nan
1.428571428571428825e+00 nan
1.771428571428571352e+00 nan
2.114285714285714768e+00 nan
2.457142857142857295e+00 nan
2.799999999999999822e+00 nan
3.142857142857143238e+00 nan
3.485714285714285765e+00 nan
3.828571428571428292e+00 nan
