# ca_coord
-7.828571428571429180e+00 3.451393873903317200e+00
-7.485714285714285765e+00 3.533772438175612596e+00
-7.142857142857142350e+00 3.590637816319799391e+00
-6.799999999999999822e+00 3.509940720437658257e+00
-6.457142857142857295e+00 3.588359083409470518e+00
-6.114285714285713880e+00 3.569824493372137475e+00
-5.771428571428571352e+00 3.528045761701428695e+00
-5.428571428571428825e+00 3.404479643080890572e+00
-5.085714285714285410e+00 3.406085043796855061e+00
-4.742857142857142883e+00 3.372699988836861618e+00
-4.400000000000000355e+00 3.559058703904160570e+00
-4.057142857142856940e+00 3.494633341407712646e+00
-3.714285714285714413e+00 3.478845150633449901e+00
-3.371428571428571441e+00 3.534140420920943715e+00
-3.028571428571428470e+00 3.456075029671554333e+00
-2.685714285714285499e+00 3.341063289713875673e+00
-2.342857142857142971e+00 3.288378333888034799e+00
-2.000000000000000000e+00 3.234706930584753337e+00
-1.657142857142857029e+00 3.192057422670722566e+00
-1.314285714285714057e+00 3.091835473333074180e+00
-9.714285714285710860e-01 2.965604439149805760e+00
-6.285714285714285587e-01 2.796997731643807494e+00
-2.857142857142855874e-01 2.592905696203727128e+00
5.714285714285693984e-02 2.336770862725187747e+00
3.999999999999994671e-01 2.090767661423169610e+00
7.428571428571428825e-01 1.823093194371204984e+00
1.085714285714286298e+00 1.593277671972093579e+00
1.428571428571428825e+00 1.361702817705746860e+00
1.771428571428571352e+00 1.048880412519901828e+00
2.114285714285714768e+00 7.537873460873298903e-01
2.457142857142857295e+00 nan
2.799999999999999822e+00 nan
3.142857142857143238e+00 nan
3.485714285714285765e+00 nan
3.828571428571428292e+00 nan
