# ts_coord
-7.828571428571429180e+00 4.452789071933299425e+00
-7.485714285714285765e+00 4.755998429360456470e+00
-7.142857142857142350e+00 4.679961043532613552e+00
-6.799999999999999822e+00 4.559294376810310467e+00
-6.457142857142857295e+00 4.594829660240961289e+00
-6.114285714285713880e+00 4.431919068323471045e+00
-5.771428571428571352e+00 4.515492383262969867e+00
-5.428571428571428825e+00 4.402018008112383640e+00
-5.085714285714285410e+00 4.553478183102428467e+00
-4.742857142857142883e+00 4.513404377085425523e+00
-4.400000000000000355e+00 4.557992182580379747e+00
-4.057142857142856940e+00 4.470038758245133970e+00
-3.714285714285714413e+00 4.550523868378255621e+00
-3.371428571428571441e+00 4.453156483735095428e+00
-3.028571428571428470e+00 4.438054770983017150e+00
-2.685714285714285499e+00 4.350421774607935888e+00
-2.342857142857142971e+00 4.290967322748023172e+00
-2.000000000000000000e+00 4.051855624208865692e+00
-1.657142857142857029e+00 4.107490277811367996e+00
-1.314285714285714057e+00 3.792499440112542697e+00
-9.714285714285710860e-01 3.612542009844531776e+00
-6.285714285714285587e-01 3.390854105738319468e+00
-2.857142857142855874e-01 3.105672300818484999e+00
5.714285714285693984e-02 2.895358382339637160e+00
3.999999999999994671e-01 2.627236179432401286e+00
7.428571428571428825e-01 2.297011075749924469e+00
1.085714285714286298e+00 nan
1.428571428571428825e+00 nan
1.771428571428571352e+00 nan
2.114285714285714768e+00 nan
2.457142857142857295e+00 nan
2.799999999999999822e+00 nan
3.142857142857143238e+00 nan
3.485714285714285765e+00 nan
3.828571428571428292e+00 nan
